
PLACED?		EXISTS?		NAME?			  		STATUS
NOT_PLACED  INTERIOR	Catholic Chapel	  		INCOMPLETE
NOT_PLACED	INTERIOR	Factory					INCOMPLETE
NOT_PLACED  INTERIOR	Generic Apartments 1	INCOMPLETE
NOT_PLACED  INTERIOR	Generic Castle 1		INCOMPLETE
NOT_PLACED  INTERIOR	Generic Castle Tower	INCOMPLETE
NOT_PLACED  INTERIOR	Generic Catholic Church	INCOMPLETE
NOT_PLACED  INTERIOR	Generic Cave Entrance	INCOMPLETE
NOT_PLACED  INTERIOR	Generic Hospital		INCOMPLETE
NOT_PLACED  INTERIOR	Generic Hut Exterior	INCOMPLETE
NOT_PLACED  INTERIOR	Generic Nice House		INCOMPLETE
NOT_PLACED  INTERIOR	Generic Nice House 		INCOMPLETE
NOT_PLACED  INTERIOR	Generic Poor House		INCOMPLETE
NOT_PLACED  INTERIOR	Generic Skyscraper  	INCOMPLETE
NOT_PLACED  INTERIOR	Gun Store				INCOMPLETE
NOT_PLACED  INTERIOR	Hotel					INCOMPLETE
NOT_PLACED    N/A		Mine Shaft				INCOMPLETE
NOT_PLACED	INTERIOR	Modern Skyscraper		INCOMPLETE
NOT_PLACED  INTERIOR	Police Building			INCOMPLETE
NOT_PLACED  INTERIOR	Prison					INCOMPLETE
NOT_PLACED 	INTERIOR	Projects				INCOMPLETE
NOT_PLACED  INTERIOR	Ranchero House			INCOMPLETE
NOT_PLACED  INTERIOR	Refugee Tent			INCOMPLETE
NOT_PLACED  INTERIOR	Ru. Orthodox Church		INCOMPLETE
NOT_PLACED  INTERIOR	Shanty House			INCOMPLETE
NOT_PLACED  INTERIOR	Tippee					INCOMPLETE
NOT_PLACED  INTERIOR	Warehouse				INCOMPLETE
NOT_PLACED  INTERIOR 	The Great Tree			INCOMPLETE
NOT_PLACED  INTERIOR 	Tree House				INCOMPLETE	
NOT_PLACED  INTERIOR	UC Grizzly				INCOMPLETE
NOT_PLACED  INTERIOR	Oakwood City Hall		INCOMPLETE
NOT_PLACED  INTERIOR	Chinatown House			INCOMPLETE
NOT_PLACED  INTERIOR	Russian Club			INCOMPLETE
NOT_PLACED  INTERIOR	San Cisco City Hall		INCOMPLETE
NOT_PLACED 	INTERIOR	San Cisco Skyscraper Triangle	INCOMPLETE
NOT_PLACED  INTERIOR	Radar Dish				INCOMPLETE
NOT_PLACED  INTERIOR	Triad HQ				INCOMPLETE
NOT_PLACED  INTERIOR	Jungle HQ				INCOMPLETE
NOT_PLACED  INTERIOR	Quaker HQ				INCOMPLETE
NOT_PLACED    N/A		San Juan City Hall		INCOMPLETE
NOT_PLACED  INTERIOR	The Hub 				INCOMPLETE
NOT_PLACED  INTERIOR	Sequoia City Cinema 	INCOMPLETE
NOT_PLACED  INTERIOR	Sequoia City School 	INCOMPLETE
NOT_PLACED  INTERIOR	Cafe					INCOMPLETE			
NOT_PLACED  INTERIOR	Cardinal University		INCOMPLETE
NOT_PLACED  INTERIOR	Pear HQ					INCOMPLETE
NOT_PLACED  INTERIOR	Tech Topia City Hall	INCOMPLETE
NOT_PLACED  INTERIOR	Weird Tech Building 1	INCOMPLETE
NOT_PLACED  INTERIOR	Weird Tech Building 2	INCOMPLETE
